	Unnamed: 0	title	text	travel_date	rating	location	label
11	11	Enjoyed the visit	Derinkuyu underground city is a must visit if in Cappadocia. It gives an incredible glimpse into the lives, struggles, triumph and ingenuity of the people there. Take a guided tour if possible, it will help understand the place much better. Visit only if you are ready to walk inside narrow tunnels because the city is narrow and can be quite claustrophobic. If you don't suffer from claustrophobia, do visit!	2019-09	5	1	1
12	12	Quite Remarkable	This is a must visit and earlier in the day, the better. We were advised by our hotel manager to get there as soon as the place opened up to avoid crowds so we got there at 9:00 am. We were the first ones to enter the place and there were no other tourists in sight. Once were done buses full of tourists were arriving. We went down into the city with a guide that we acquired by the ticket office and were glad we did in order to understand and appreciate the history. It is remarkable to know that the entire Kappadokiya region has multiple underground cities, this one clearly is the best one in terms of the area.  It can be quite strenuous for those suffering from hypertension, obesity, and claustrophobia.	2019-10	5	1	1
13	13	Deepest Underground City in Cappadocia	The Derinkuyu underground city is a multi-level ancient refuge about 40 kilometers from Goreme, in Nevşehir Province. Out of the 36 known underground cities in the Cappadocia region, Derinkuyu is the deepest, extending to approximately 60 metres depth. It is large enough to have sheltered as many as 20,000 people, together with their livestock and food stores. Navigating its labirinth tunnels and learning about the ancient people's survival drive is one unforgettable experience, not to be passed.	2019-06	5	1	1
14	14	Amazing underground tour	One of the 38 known Anatolian underground cities.  The tour goes to 8 levels of construction.  Not for the claustrophobic.  An amazing walk through history offering a unique insight into another time and place in Turkish history.  Can get really crowded in peak season or on busy days.	2019-10	5	1	1
15	15	Big underground city	Thousands of people and their animals could hide here during times of unrest. 36 such cities and a couple claim to be the largest. Better for shorter fitter prople	2019-10	4	1	1
16	16	Much better than Kaymakli. If possible do on your own.	PLEASE MAKE SURE YOU DO NOT GO HERE IF YOU ARE CLAUSTROPHOBIC.We did a green tour in Goreme and we were promised that we will be taken to Derinkuyu underground city as part of the tour. But when the tour was halfway through we were told that we are going to Kaymakli. I am not sure what was the reason for this change. May be because a lot of people in our group were elderly and Derinkuyu is certainly much more deeper and complicated than Kaymakli.Anyway, we had 1 day spare in Goreme and decided to go to Derinkuyu underground city through public transport. One huge advantage of using public transport is that you can choose a time later in the evening when there are not many tourists who are part of green tours. We took a mini bus from Goreme to Nevsehir for 4 Lira per person and then from Nevsehir to Derinkuyu village for 9 Lira per person. The bus stand in Derinkuyu is right in front of the entrance to the underground city. The mini buses are usually punctual and they run every 15 minutes from Nevsehir.The entrance fees is 42 Lira per person and it is also included in the museum card. This city is much more deeper and narrower than Kaymakli, making it much more adventurous. There are so many small tunnels here and if you are not in group, you can explore every inch of the city at your own pace. We really enjoyed it much more than Kaymakli.While coming back the frequency of mini buses to Nevsehir is one hour. In worst case you might have to wait for an hour at the bus station. But the small village of Derinkuyu is also very fascinating and you can walk through the village in the evening. The life here is so laid back and in sharp contrast with the life in big cities in Turkey. Even Goreme would seem like a big city when you walk through the Derinkuyu.	2019-10	5	1	0
17	17	Think twice before entering	Wow this was really fascinating. An underground village As we went in September there were no crowds. We were basically alone with our guide. We saw kitchens, storage areas, and family rooms. Unfortunatelly I was not able to go down to the next level due to my claustrophobia but from what I was told it was very impressive although a bit scary because of the narrow passages,	2019-09	4	1	0
18	18	Nightmare!	Started badly seeing the huge queues waiting to get in.When we did finally enter it was so crowded with the tour bus brigade it was impossible to move.The ceilings are low and the corridors narrow.After 10 minutes decided we had had enough, and were certainly not going to spend a couple of hours down there, and struggled to get out.If you are under 5.5 ft, and love crowds, you will like. Avoid otherwise.There are other, less well known, cities to explore.	2019-10	2	1	0
19	19	Not worth the effort	I’m probably one of the fews who will not recommend this place wholeheartedly. The history of this place is fascinating but you will not get much from visiting this place. The sites are not that big as it used to host around 20,000 people. I’m not sure if it worths the trip from Goreme.If you happened in the area and decided to visit this site, make sure you read and get to know about this place. Otherwise, it will just be a ‘cave’ for you and a waste of time.	2019-09	3	1	1
20	20	Claustrophobics (and people who have seen the movie The Descent), beware	As the name of the place suggests, this is an underground city that has been found some time ago (we didn't see any information there regarding the exact date).What is amazing about it (and not necessarily commonly known) is that after all excavations are done, it is expected that the underground city system may span 600+kms in length (at least this is what was told to us there).With that picture in mind, you can very well use the Derinkuyu Underground City as a starting point to imagine what it could’ve been like.The underground city is 85m deep, but you can only go down to a depth of 55m when exploring it. Basically you have access to roughly 10% of the entire city, but it is enough to see a stable, a church, a school, a winery, a well, residential areas, etc. As such, it still is pretty impressive.You really do get a feel for how they must’ve lived down there, which is nothing less than exhilarating.Two pro tips for this attraction: 1. Be wary about getting a tour guide on the spot, as some of them can rip you off and charge 100 EUR+. Consider not getting a tour guide as majority of the rooms are anyway with signs concerning what they were used for, or negotiate to pay much-much less.2. If you are very tall or are not so fit, be prepared. Some of the tunnels leading between areas are quite narrow, tight and with low ceilings. At 175 cm, some of us already had to walk squatting for quite lengthy distances to fully explore it.	2019-09	5	1	1
21	21	Amazing experience	There is nothing else like this that we've seen in our many travels. Taking a guide at the entrance, for about 120 TL, is worth it to understand what you're seeing. The kids had so much fun exploring all the galeries. Going to Cappadocia, you can't miss this!	2019-09	5	1	0
22	22	A thrilling visit.	I enjoyed my visit to this underground city. I have never experienced a place like this before and it left me wondering about the kind of life the people there would have led during the periods that they occupied the place. Only a part of the city is open to visitors and the lower levels are not properly marked. So you are left wondering about the usages of the many chambers etc.. Walking hunched up through the low narrow tunnels not knowing just how much further you would have to walk like this was mildly scary and I loved it all.	2019-08	5	1	1
23	23	42 TRY to see nothing - skip It	My strong advise: Skip this place - even if you are taken here by your tour guide. We were here on our own - driving from Göreme made it even less recommendable.It costs 42 TRY - 7 EUR to get in and you will be stuck in the tunnels with hundreds of other people trying to get in or out. You need to use the same stairs for going down & coming up and you need to wait it the tunnels for the very large tour groups to come up before you can go down. And once down at the bottom level you have to wait again with hundreds of other people to get back up. It is very crammed experience. There is nothing to see it the tunnels - just tunnels and bit larger ‘rooms’. It might be worth seeing if the tunnels were one way only - but as it is - the place is just a tourist rip-off.	2019-08	2	1	0
24	24	Worth a quick visit	We were part of a tour and the underground city was included. The information provided on the site was quite different then what you could read online, but I’ll let you be the judge of that.It goes without saying that people with claustrophobia should avoid getting in since some tunnels are narrow and you enter / exit from different points.	2019-08	4	1	1
25	25	Worth to visit	It is amazing to see an underground city that has been built many many centuries ago! It is definitely worth to visit. There are really small corridors so make sure you are physically fit to crouch and walk. You do not need a tour guide, just read the panel at the gate right by the ticket office and you know what you'd see. Overall, highly recommend this little journey!	2019-08	5	1	1
26	26	A brief visit ...	We had an eventful visit - a party of 6, 2 under 12, 2 over 60, and 2 in the middle.  Amazing to appreciate what folks did 2000 years ago.  We entered with a guide - things began well enough... but quickly turned for the worse after 15 minutes.  There aren’t a lot of descriptions of what you’re seeing so a guide is helpful.  And if your spouse has a claustrophobia induced panic attack the guide is invaluable in finding you the fastest way out.  Kids enjoyed it.  Grandparents were a little uncomfortable.  Wife HATED it.  Your mileage may vary.	2019-08	3	1	1
27	27	Running out of superlatives	Amazing place and amazing experience. I only wish I was a very young boy again and we had freedom to run and play in these tunnels. What sheer ingenuity the creators had, these became the home, the food store, the animals store, their prisons, meeting places, wineries, everything. They would live in these cave systems for weeks at a time if they were under attack. This at one time (with the as yet undiscovered tunnels) was home to around 20,000 people. With 20,000 peoples needs in terms of food, hygiene and also your internal compass being cut off from the ground and light source for weeks at a time. They believe that they have only discovered maybe 20% of all the cave systems.	2019-05	5	1	0
28	28	Nice	It’s nice, but not unmissable. It’s not as claustrophobic as we thought it would be, it’s interesting to see the hallways and rooms, but there’s not much else.	2019-06	4	1	1
29	29	Amazing underground city	If you visit Cappadocia, do not miss place. You go down 8 stories. The tunnels are petty narrow. And sometime you need to wait for others or squeeze in. If you are claustrophobic, it may be a little scary. But we visited with two children (ages 8 and 10), and had no problems. It was pretty amazing actually.	2019-06	5	1	1
30	30	Underground Maze	We went to Derinkuyu while we were staying in Goreme. It is a bit of a drive. Somewhere around 40 minutes each way. Taxis are not that expensive but when you compare the fare, for both ways, and the exhibit price, it would be cheaper to go on a tour bus. I do not like being in big tour groups so we decided to go on our own. The underground city is huge and there is a lot of history. However, after a few rooms it really starts to look all the same. It is easy to get lost because everywhere looks so similar. I do recommend that you go but I also recommend that you plan something else for the day as Derinkuyu is good, but also repetitive.	2019-04	3	1	1
31	31	Derinkuyu Underground City	This city is impressive, it is the deepest of over 200 in the area, I managed to get down to level 6 but there were more not all investigated as yet. It was an enjoyable place to visit although if you have walking difficulty I would not advise it. We were told by a guide that this city, and all the others, were built by Christians fleeing the Roman army? ( if you have the worlds best killing machine on your  tail I would suggest you would not stop to dig holes in the ground). I believe it was built around the end of the last ice age or earlier. IT does not make sense to make the effort to build these cities unless the surface was uninhabitable and that would be around the time of the Younger Dryas event. or earlier. I fully recommend a visit to this place it's special but the walking surface is uneven and slippery and there are lots of sharp stone corners.	2018-07	5	1	1
32	32	Little maze	You can enjoy little maze here. If you travel with children, please be cautious of some sharp stone, slippery stone floor and getting lost.	2019-05	3	1	1
33	33	Very Impressive Underground City	We made a visit to the Derinkuyu Underground City as part of the Green Tour for 33 euros per person.  The entrance fee was included in our tour.  Our guide explained the Underground City but there were quite a number of groups in front of us and behind us so we had to keep moving.We spent around an hour underground.  When you are underground, be prepared to crouch in the tunnels and you won't be able to stand up straight in some areas.  But definitely not as cramped as the Cu chi tunnels in Vietnam.It is an expansive underground city.  I was quite impressed.	2019-04	5	1	1
34	34	Worth a visit !!!	After buying entry ticket on our way inside we took a tour guide which I personally think a necessity. He took us all the way to few levels down explaining the history behind the underground city about thousands of ancient dwellers ( where the rich and poor lived)Taking us through narrow tunnels downwards quite a experience showing us where they used to make wine, storage, Bedrooms and much more about their living style. A must visit while in Cappadocia..	2019-03	4	1	1
35	35	Not to be missed!	This was clearly one of the highlights of our trip. You don’t wanna miss this one since it’s a different experience from all the breathtaking views you’ll get or hiking experiences that you’ll have in Cappadocia. We went alone as a couple due to lack of time but in my opinion a guided tour would be a more fulfilling experience.	2019-03	5	1	0
36	36	Good but extremely way too crowded	We went to this underground city a day before going to Kaymakli underground city, unfortunately for us it wasn’t the best moment because we visited it on the very last day of a big holiday in Turkey and many locals were here and it was impossible to walk through the narrow passages of this place.Even a few times the workers there were helping people to transit and we had to wait for the next groups turn to keep going.Just make sure what day are you travelling here and check is not a big holiday in Turkey, otherwise you might struggle a lot.The place was nice and deeper than Kaymakli but my favorite was Kaymakli I couldn’t even take photos from this city because it was impossible and too crowded	2018-08	4	1	1
37	37	Fascinating ...	It was breathtaking experience and very difficult to imagine how years ago, without any machine aid, people manged to built such an architectural marvel. From proper ventilation to storage to grave, it had everything.  'A must to visit' during Cappadocia trip.	2019-01	5	1	1
38	38	Pretty Cool	This was an unusual experience. I completely enjoyed it. Fascinating that people could do this without tools, and use it for safety and defense. I spent about an hour there, and enjoyed the occasional challenge to get unto a new level or room. Glad I had someone who could tell me about it as I go. That increased the experience a lot. Don't get lost... Was not busy when we went.	2018-12	4	1	1
39	39	Don't miss this!	What an amazing place to visit wow! It's a must on your list. It's incredible to think how this city was built without the aid of machines. It does go down about 200 ft with many rooms and corridors. There was a lady on my tour who suffered claustrophobia but was totally fine with the decent. It is mind blowing to see the detail and planning that went into this city. I did it as part of The Green Tour, well worth it. And I was lucky to be part of a small group, about 15 and the guide was really entertaining and informative.	2018-10	5	1	1
40	40	An ancient wonder	The underground city was so interesting and slightly strenuous as you had to climb through the narrow pathways up and down the underground city. Fascinating to see how people lived in ancient times, communicating with each other via old school methods.	2018-12	5	1	1
41	41	DERINKUYU UNDERGROUNDCity	We visit it as a part of Green tour With a great guide which is recommended for this kind of tour, i woud not recomend to do this tour alone to anyone.Nice experience..	2018-12	5	1	1
42	42	unusual place to live	Narrow tangled  tunnels, strange  sleeping rooms, school, church, stables, all you need for normal life, but all underground. For me it was an extraordinary experience!	2018-08	4	1	0
43	43	Impressive history behind these underground tunnels	These tunnels are pretty impressive - they show how people prepared themselves for potential invasions and how they thought about every detail - they had place for their animals, kitchens, living rooms, everything! They were fully prepared for attacks by enemies. When I got there and went several levels underground I couldn't stop thinking how much effort this must have taken the people to build these tunnels. Some things to consider: In some places the tunnels are very narrow and it might get claustrophobic. Another problem (which was exttemelly annoying for me and the reason why I didn't put 5 stars) is that it gets pretty crowded especially with big groups. Better choose early morning for your visit.	2018-10	4	1	1
44	44	A must visit in Cappadocia area!	We were brought here as part of the green tour. You will be amazed at how the people from the 10th century stayed in these tiny underground cave. If you are highly claustrophobic, limited mobility or traveling with small children, I wouldn't recommend this visit. Otherwise, all healthy adults should try this out.	2018-11	5	1	0
45	45	New experience	The place is entertaining and claustrophobic, many levels and hidden paths with rooms, good for and hour visit.It’s a self guided visit, but there are guides in the entrance if you are interested in getting an explanation on what you are seeing, in this place it might be worth it since you will not get any clarification or signs on what’s displayed or the use of the rooms. And I don’t usually use guides.	2018-11	4	1	1
46	46	Interesting visit	The underground city was very interesting, so much history to absorb. The way it was built and the design itself is quite remarkable. I thoroughly enjoyed my trip to the underground city.	2018-11	5	1	1
47	47	Must do caves	These are the caves where 25000 people used to live for protection from enemies.these are caves where you descend from one room to another and you hardly know that you are descending floors, except in one or two areas. Light and air is good you do not feel uncomfortable in this. Just keep calm and try to live in the moment and experience or imagine the life in olden days.	2018-10	5	1	1
48	48	Dungeons and dungeons, tunnels to the deepest mystery	One of the best thing you should do in cappadocia, it’s a very interesting experience to discover how people here used to live underground, honestly, there is nothing here left in the underground caves, no painting, crafting or even any furniture, still walking down to 7th floor underground is a unique experience you wont have anywhere else, if you are a cave lover than you don’t want to miss this. At least visit one of the underground city here. It’s very easy to take the bus and come here by yourself, there isn’t much difference, but if you like you can also spend some time to visit kaymakli underground city as well! It’s about 10km from here, and most bus will pass through there as well!	2018-10	5	1	0
49	49	Thrilling underground city visits	This was the biggest surpise of our trip to Cappadocia. Going through all the tunnels leading to the various levels of ancient civilisation and learning unique things about the civilisation will make this trip a great experience. Please note this is not recommended for those who feel claustrophobic.	2018-10	5	1	1
50	50	Wonderful experience of ancient caves	this experience should not be missed.However be warned it needs a lot of climbing up and down long stairs with very low ceilings,  so don't go in far if you have knee problems or bad back problems. Also don't go in smart clothes unless you mind a bit of dust possibly getting on your clothesthere are many levels in here, it's stunning, I've not seen anything similar outside this area	2018-05	5	1	0
51	51	Interesting place...	this place is not for claustrophonic, some passage way specially going to the lowest levelwould require bending on a narrow incline tunnel. Not for people with heart problem sometimes you need to climb faster as some passageway are only one way and other groups are waiting for their turn  to go down but in general if you well fit its worth a visit. It would be wiser to explore it with a guide...	2018-08	5	1	1
52	52	Amazing place to see	After i read the reviews here, i was worry because of my height. Since i m 190cm. However, it wasn’t that hard to navigate around. Once u pass tunnels or stairs rooms were spacious. It takes about 45min tour.	2018-09	5	1	0
53	53	Very interesting.	Built over hundreds of years and multi levels, this cave system is worth seeing.  Gives a real interesting insight to how people hid in times of crisis and sheltered from the heat and cold.  If you are obese you might have trouble getting through these narrow passages.  You don’t need to be especially fit, as you can go though at your own pace, and don’t need to go to the lowest levels if you don’t want to.	2018-08	5	1	0
54	54	Very interesting underground city!	We visited here on the recommendation of our guidebook and were not disappointed.  As stated in other reviews, this is not for those with heart problems or claustrophobia.  There were loads of very narrow and steep stairs as well as low ceiling heights in many areas.  Overall highly recommend this experience though as it very interesting!	2018-08	5	1	1
55	55	Surprising defence system.	"There are many underground cities in the area it is important to note that people did not live in them. They were means of defence and escape from enemies.These were places of refuge from the Romans in the very early Christian Era before Constantine. In design this ""city"" had seven levels decending through the volcanic rock, narrow runnels, air shafts, storage areas, round basalt rock doors, a church and wells all cut by hand over the centuries. It has narrow steep stairs and low tunnels all designed for defence. This means a torch, a relatively good level of fitness are required. I recommend a good guide as some passages and stairways are one way and these can get very busy with tour groups. We were lucky enough to have Erogan who had taken us through the outdoor museum. Again his expertise and knowledge meant we had a truly interesting learning experience."	2018-07	5	1	1
56	56	Strange Underground City!	A unique and concluded place! You can navigate around the city via narrow tunnels with painstaking designs. Note that the  ceiling can be low at times, so watch out for your head. The atmosphere inside the city is cool even in the apex and heat in the middle of summer. Definitely a must visit.	2018-07	5	1	1
57	57	Must visit	Had gone there early this june.. Its a wonderful place full of history.. We had excellent guide called denise with us.. He was a powerhouse of information.. And i felt truly amazed after getting into this underground city.. So much planning n hard work has gone into constructing it.. Hats off.. Its a gem	2018-06	5	1	1
58	58	Wonderful place	Visited during our stay in Goreme. Did not opt for a guide, just went around ourselves. It was a unique and wonderful experience.There are a number of levels inside and it was very enjoyable. Was not stuffy inside but some areas can be a bit difficult for those who are claustrophobic.Have to bend down a lot at some places as the roof can be very low.Highly recommended to those who may be comfortable doing it. Not something which we can experience at other places.	2018-05	5	1	1
59	59	Definetly yes	Ok we went to Ozkonak Underground City, they charged us 10 TL for a very small place. Then on our way back home, we did take time to visit this amazing, huge place.  They charge you 25TL and it way well woth it.  If you follow the arrows inside it will take you 30 mins or so, but if you wonder around the other un marked tunnels (which you can, if you like to take the chance, we did just a little bit) it might take you alot longer. It was like they had a underground city under this one. So so amazing.	2018-07	5	1	0
60	60	not for the faint hearted	we visited this place on a tour and would have liked a lot longer to explore. due to the narrow passage ways and stairs I would not recommend for the claustrophobic or faint hearted,the history and complexity of the work and effort to dig this so that many people could live here to retreat from, enemies wildlife and the extremes of the heat in summer and cold and snow in winter is fantastic, it is believed that this place was once linked with tunnels to 7 other underground cities in the area. one of the main points is a very deep well, which was used for water, but i believe that because of the size of this must have been used as a winch to lower food and supplies into the city and to take out waste and rubble. we visited on a guided tour and which included the 25tl entrance fee which was very informative but found to be a little rushed as this place can get very busy. if i was to visit again i would like to do it on my own and purchase a guide book then do at a more leisurly pace.	2018-06	5	1	1
61	61	Interesting	An interesting place to explore with a rich history and many turns and twists. Although not all of the underground city is open for visitation there is enough here to see - cavernous rooms, places to crawl into and large stones that were used as doors. It is a unique experience and one that is slightly physically demanding (steep, narrow stairs in places). Take some warm clothes for the deeper levels, pace yourself and watch your head.	2018-06	4	1	1
62	62	Deep well!	we did derinkyu underground city tour with cappadocian guide company. Kadir was our guide and he's exceptionally good. Carry a small bag as it gets difficult to navigate if you have a big bag on your shoulder. Also lot of climbing and walking so Ppl with knee or back issues should be watchful. We were amazed seeing the skills ppl had at that time. So well thought about! The ventilation shaft, living room and storage room is fascinating! Only 8 percent is accessible and at one point we were standing 50 ft below the earth's surface. Our guide told us interesting facts like the rooms alloted in the underground city was as per number of Ppl and not order of the the person. A king may not necessarily get a bigger room. He also told us that if a bride to be wishes to say no for marriage then she should spike the grooms coffee with salt or spice! Thoroughly enjoyed the tour and it's a must do in cappadocia. We had some amazingly strong turkish coffee outside the city. The souvenirs available at the shop were good too.	2018-06	5	1	1
63	63	Amazing and challenging	Derinkuyu is one of those places you wouldn't believe exists if you hadn't actually been there.Let me make an important point not just about Derinkuyu, but about many sites and attractions in Turkey: you get unbelievable hands-on access at almost every museum and historical site, Derinkuyu included.Which means, at Derinkuyu, you will be walking carefully down steep rock stairways underground, squeezing through tiny dark passages, and if you are the least bit claustrophobic or unable to negotiate strenuous climbs, you probably shouldn't even try.Derinkuyu is an underground city that Christians, and Hittites before them, would retreat into when enemies attacked.The passages and rooms stretch for kilometers underground on multiple levels, going far deeper than the first twenty to thirty meters below ground open for the tour.Entering one small room from a narrow passage, I moved to a corner where no one was standing. Unfortunately, my eyes hadn't adjusted to the darkness of the room and I didn't see that the corner had no one standing in it because it was a burial pit. I fell in, bruising my arm and dignity, but was not seriously hurt. Yet it was a warning to me, and I hope to others, not to take safety for granted while in Derinkuyu. The guides and signs describe one amazing room as a schoolroom, but with a pool for a baptistry part of the room and an elevated speaking position at one end, I'm certain that it was used as a church. By all means, visit Derinkuyu. You will be glad you did. But be careful....	2018-05	5	1	0
64	64	Interesting place and an unique experience	It is quite an interesting place to visit. One does wonder how many families including their cattle could live for days together there. The entrance and entries are quite narrow but the ventilation is quite good. Persons are allowed to go in batches of 10-15 person so that the places do not get overcrowded. Don't carry backpacks as you may have to bend and almost crawl at some locations. Some passages have to be used in both directions but there are ushers to make sure that there is always people moving in only one direction at a time. An unique experience one should not miss out.	2018-05	4	1	1
65	65	Interesting experience!	Definitely don't go if you're claustrophobic - not just because there are small corridors and well, you're underground - but also because there are large groups of Turkish school children that come in and bust through the passageways causing holdups of 10-50 people in very small compartments.  That aside, the experience was pretty interesting! Multiple levels, areas where animals were kept and fed, kitchens, bedrooms. Very interesting.  Also, as a tip, because it is below ground the temperature is very even but a bit on the chilly side! Nice to escape the heat, but be prepared.	2018-05	4	1	1
66	66	Don't go if you are claustrophobic	Although this is an amazing place, a series of underground passages and rooms underground that housed (depending on who you believe) up to 35 000 people it is very cramped in places. You have to be prepared to crouch a fair bit to be able to move along the narrow corridors. The real trouble comes when you can't just carry on moving forward and have to retrace your steps. Then you have to wait while others move through, we got stuck in quite a small room. Definitely not for those who hate being in cramped places and are afraid of being crushed.	2018-05	4	1	0
67	67	Real cave experience	It’s a real cave experience. You need to have a strong back and good shoes to roam around the entire underground city. It looks claustrophobic but they have good ventilation system. Can’t believe people around six thousand years ago lived here. The stairs are extremely narrow and steep. It was like a hardcore work out to visit but but a great walk through ancient civilization	2018-04	5	1	1
68	68	Amazing!	You should go to this place in the morning to avoid the crowd of tourists.And I suggest you to bring a torch for more fun advenger!This underground city is so complex and truely amazing.Must visit!	2018-04	5	1	1
69	69	Go in the morning	It is a must see but beware if you are claustrophobic or have a heart condition. No sane authority would allow so many people into such narrow tunnels at the same time. Even though I am not claustrophobic and don’t have a heart condition, because of the crowd, I felt so overwhelmed and you wonder what would they do if someone collapses or some emergency or panic occurs in the tunnels. I don’t think they have a disaster plan. So if you will visit this place try to do it in the morning before the big groups arrive. You will love it and will be amazed.	2018-04	5	1	1
70	70	Watch out for tickets sales times!!! Closes at 16:15!	We drove 45 mins out of Goreme to come here thinking they close at 7 pm as per their website.We got there at 16:35. The tickets sales counter was already closed at 16:15! The security said the place is open but since we do not have a ticket we cannot go in. No discussion.We were not the only ones who were very disappointed we were leaving Goreme the same day. The website should be updated with such info.	2018-04	1	1	0
71	71	Absolutely Fascinating - Some tips	We got there for when it opened at 8am, and were the only 2 people there, which was fantastic. Some points to consider:- Go early if you can, to avoid the crowds, as some walkways can be narrow- A small torch is handy, as some areas are dark, particularly the tunnels.- While the walkways are narrow, (you'll just have to crouch a bit when walking) the ceilings of the rooms are relatively high, so these don't feel so claustrophobic.- It does get a bit nippy down there, so a light jacket is ideal. - Costs 25TL (bargain)- Super interesting experience and must see!	2018-03	5	1	1
72	72	incredible place	Goreme  open air museum is very close to Goreme village, so we went there by foot. The entrance fee was 100 tl, or 150 tl with guide. There is a museum shop where you can buy a book guide.It is an incredible place,used to be a monastery in early christian times with a lot of small churches inside of amazing stone formations.	2022-04	5	2	0
73	73	Good to visit - be careful with guides asking for bribes	The price is 100 TK Lira , but you have to pay extra for visiting things inside the museum ( like the Dark Church) The guides have a small scam !!! They do not want you to buy guide officialy at the gate but after they talk with you for a few minutes they will demand money. They will offer to take pictures for you then ask for money. There is a scam after every corner 😁	2022-04	3	2	0
74	74	Incredible place on Earth	After Petra, Jordan, this was always on my list and finally got to it this year!It is a marvelous display of natural rock formations and human ingenuity and titanic effort to chisel  habitats inside the belly of these strange stones not to mention the brute story of the reasons and believes that drove people to hide up here. Me and my friends spent the day of March 24 around. We hired a local guide for the Open-Air museum, very knowledge, easy going, well educated. The stories of the 7 churches are dazzling, it would be a pity to walk through them without any knowledge or info of their history. You need more than a day if you want to see the entire area, some dwellings and settlements are so far apart you need to drive to cover all that ground. In short, book at least 2 days to explore this amazing attraction. Anything less wont do any justice.	2022-03	5	2	1
75	75	Amazing view	A magnificient view speacially with the snow.. i loved the place it was very close to goreme where i stayed it was hard to climb for my 4 years old daughter but we did it the parking was 8 minutes away from the museum toilets were soo clean and the place was not crowded	2022-03	4	2	0
76	76	Great way to spend a few hours - Worth a visit	The open air museum is amazing and well worth a visit. The site is pretty much a small village carved out of the stone - complete with everything that you would need to live, so there's a little bit of everything, from stables to churches to kitchens etc, only its all part of ancient history.There's still frescos on the walls of some of the churches, unfortunately there has been a fair amount of damage/ vandalism that was obviously done on purpose - although you cant say by whom as 4 different peoples have occupied the area over the years.There's plenty of houses/dwellings and loads of Dining halls carved out of the rock - they obviously used to eat one hell of a lot. There's not a whole lot of information around so I would suggest the audio tour or a guide (but make sure to haggle).There's a lot of walking and its not the easiest if you have trouble with hills and dodgy stairs and passageways.Overall it was a great way to spend half a day.Entrance was 60TL and you needed to buy an extra ticket for one of the churches. Also the staff at the entrance/ticket booth were pretty rude and a bit idiotic.	2022-03	4	2	0
