	title	text	travel_date	rating	location
20	Çok ilginç ve ürpertici	Kesinlikte ziyaret edilmesi gereken bir yer. İnsanın aklı almıyor bu tarz yerlerde ibadet ettiklerine. 6 yaşındaki oğlumla girdik. Galiba o dönemde yaşan insanlar onun boyundaydı. Sadece o rahat hareket edebiliyordu. Müze kart burada da şart.	2019-11	5	1
21	Çok Derin	Kesinlikle ziyaret edilmesi gereken çok güzel bir yer. İnsan inanamıyor bu yapıları nasıl yaptıklarına.	2019-11	5	1
22	İnanılmaz bir yer	M.Ö 3000 yıllarda yapılmış 50000 kişiye kadar saklanma imkanı bulmuş bir yer . İnanılmaz bir mimariye sahip O dönemde nasıl yapılır böyle bir yer bilemiyorum. Mutlaka deneyimlenmesi gereken bir yer. Tek sıkıntı çıkarken	2019-11	4	1
23	Doyum restaurant	Yeraltı şehrine ac karnina girilmez 😁😁 doyum restuarant DERİNKUYU atatürk caddesi no 26/b uğramadan gezmeyin	2019-10	5	1
24	Görülmesi gereken bir yer.	Kapadokya bölgesinde görülmesi gereken yerlerden biri. Müze girişinde sıra var çünkü yer altı şehrinde giriş çıkışlar çok dar ve bazı yerlerde giriş çıkış aynı tünelden yapılıyor. Çok küçük çocuklar için pek uygun değil. Aynı şekilde merdiven çıkmada sorun yaşayanlar için çok sıkıntılı olabilir. Tünellerin çoğunda eğilerek yürünülüyor bu yüzden çok zor. Kalp,astım hastaları,karanlık ve dar yer korkusu olanlar için uygun değil.	2019-10	4	1
25	Dünya Mirası	Dünyanın en büyük yer altı şehri !! Benzeri yok , bu yüzden sanırım kimse bilmesin diye ne rehber hizmeti var , ne sesli bilgilendirme cihazları, ne doğru düzgün yönlendirme. Şu mirasın yönlendirmesini Türkiye'nin girişinde sınır kapısına koymalısnz. Insanlar yerin altında hiç fethedilememis , yapısı bozulmadan bugüne gelmiş bir eser brakmislar. Hic anlatm olmasa , baktığınz hic bir seye anlam veremiyorsunuz. Ancak yerin kaç metre altında yapılmış bu çaba , emek ve düzen hayranlık uyandırmaya yetiyor bile. Malesef sırf 'benzersiz' olmasi bile 42 tl den cok daha fazlasıni hakederken , hc bir rehberlik hizmetinin olmaması heyecanla görmek için gelen insanı üzüyor ve şaşırtıyor.	2019-10	5	1
26	Görülmeli	Biraz yorucu,aşağılara doğru iyice daralıyor hatta aşağıdan gelenleri bekleyip öyle hareket etmeniz gerekiyor çünkü karşılıklı geliş gidiş için bazı bölümler dar tek sıra şekli küçük çocukları olanlar belirli yere kadar gidebildiklerini gördüm bunu da dip not olarak vereyim	2019-10	5	1
27	Yeraltı	Yeraltı şehrine ulaşmak için Nevşehirden halk otobüslerine biniyorsunuz bir saatten fazla yol gidiyorsunuz eğer zamanınız bol ise uygundur .Yol üzrinde Kaymaklı yeraltı şehri de var .Önerim Avanosta testi yapıp satan esnafı ziyaret edin aynı yeralti kullanımı yaşamın içinde deneyimleyin	2019-09	5	1
28	Kalp,astım,tansiyon olan girmesin !!	Yerin altında bildiniz bir şehir var. Kapasitesi yaklaşık 20000 insan alıyor.yer altı şehrine girerken 60 m yakın aşağı iniyorsunuz. Aşağılarda biraz hava azalıyor gibi. Bazı yerler biraz dar. Ama gidilip görülmesi gereken bir yer. Aklınız kalmasın görün derim. Tavsiye ederim.	2019-09	4	1
29	Görülmeli	Gidilip görülmesi gerekilen en önemli yeraltı şehirlerinden biri. Tek sıra halinde metrelerce aşağıya inmek oldukça ilginç bir tecrübe. Korkulacak kadar basık bir yer değil. Müze kartınız yoksa muhakkak çıkarttırın. Yeraltı şehri girişinde de alabilirsiniz. Zaten bu bölgede geziyorsanız fazlasıyla verdiğiniz patayı çıkarttıracaktır.	2019-09	5	1
30	Muhteşem Bir Yeraltı Şehri	Kapadokya Bölgesi'nde bulunan en büyük ve sekiz kat derine giden yeraltı şehri. Kat kat aşağıya inerken insanın hem hayranlığı artıyor, hem de daracık tünellerden geçerken kapalı yer fobisi 🙂.	2019-08	5	1
31	Büyüleyici	İnanılmaz bir dünya yer altı sehri. İnsanların nasıl bir amacla yaptıkları şahibeli olsa da, yerin altında bile barınakları tam bir sanat eseri.	2018-12	5	1
32	Gerçekten derin kuyu	İn in bitmeyen bir yeraltı şehri. daracık koridorlar ve merdivenleriyle hayran bırakıyor. nefes darlığı,klostrofobi gibi rahatsızlığı olanlar için biraz tehlikeli. giriş 42 TL. 5 ve 7 yaşındaki çocuklarımla sorun yaşamadan gezebildik.	2019-08	4	1
33	Yeraltı şehri görülmeli	Hayranlık uyandıran bir yaşam alanı. Müze kart ile ücretsiz. Bilgilendirme yetersiz. Rehbersiz giderseniz nereye kadar ineceğinizi  kestiremiyorsunuz. Labirent gibi, hafif korkutucu. Görülmesi gereken yerlerden biri. Hemen yanındaki kilisede gezilmeli.	2019-08	5	1
34	Ne desem bilemedim	Sanırım kalabalık zamanda gittik. Yeraltinda Ara ara durduk. Trafik yoğundu. 2 çocuk be kulağımızda bebekle sıkıldık. Ilk çıkıştan çıktık. Hem adım adım gitmek hemde yapı gereği nasıl yapı bizi darladi. Biraz ilerisinde kilise var kilitli içinde de hiçbirşey yok. Kapıda amca ve teyze nerdeyse zorla biseyler satmaya çalışıyor. Çocuğunun eline tutuşturup bizi 50 mt takip etti en sonunda attık. Böyle işte.	2019-08	3	1
35	Yeraltı şehri	Kapadokya bölgesinin en büyük ve en çok görülmeye değer olan yeraltı şehri Nevşehir’den 40 km uzaklıkta bulunan derinkuyu ilçesinde yer almaktadır. Giriş ücreti 42 tl olup müze kart almanızı (70tl) tavsiye ederim. Ihlara vadisine 52 km uzaklıktadır. Bileğilerinize..	2019-08	5	1
36	Bakanlık yabancı yerli tanımadan soyuyor	Bakanlık yabancı yerli tanımadan soyuyor .malesef bu gerçeği dile getirmek gerekiyor . Giriş ücreti 42 lira olan gerçekten önemli tarihi yeraltı şehrinde  hiçbir bilgilendirme yazısı yok. Odalara giriyoruz çıkıyoruz bu yerler ne için kullanıldı tarihlendirmesi yok . Yazık sinir olarak çıkıyor her giren	2019-08	2	1
37	Tarih mirası	Günümüze bu kadar sağlam şekilde kalması gerçekten bizim için büyük bir şans gezi geçmişin gizemi aklınızdan çıkmayacak ayrıca gezi olarak kaymaklıdan biraz daha zor geziliyor ancak görülmeye değer	2019-08	5	1
38	Derinkuyu yeraltı şehri	Gidip gitmemekte teredütte kaldığım .gittik ten sonra iyiki gittim dediğim yer .müze kart geçerli . Spor ayyakkabınız ayağınızda olsun	2019-08	5	1
39	Derinkuyu  yer alti sehri	Biz oglumla daha2 yasinda iken gitmistik oraya.  Cocuk kucuk oldugu icin dar yerlerden gecmekte zorlandi. Bunaldi geri donmek istedi. Ama sistemsel olarak geri donme sansiniz olmadigi icin ileri ileri seklinde gittik. Asiri kilolu insanlarin gecemiyecegim korkusu ile yeralti sehrine girmediklerinide gordum. Korkmayin sıkışma durumu söz konusu değil. Yeri çok begendim ama dısardaki satıcılar cok saygısız. Bez bebek yapıyorlar. Bir tanesinden 4 tane bez bebek alayım dedim birbirlerine girdiler aman 2 tanesini benden alacak diye bende hepsini birakip uzaklastim. Yeralti sehrine gidin yerustundeki seyyar saticilarin yanina gitmeyin net	2018-09	5	1
40	Adını Bu Kadar Hakeden Başka Yer Var mı?	"Derinkuyu gerçekten derin bir kuyu. Taşlardan oyulmuş derine hep derine inen dar, bir kişinin zor geçeceği dehlizlerden geçilerek inilen bir yeraltı şehri. Bir tür mağaralar dizisi de denilebilir. Girişteki gişede 36 tl yazısı biraz incitici olsa da 18 yaşına kadar herkese ücretsiz olması(7 yaşından büyüklerim kimlik göstermesi şartıyla) sevindirici. Ayrıca müze kart sahiplerine de ücretsiz. Oradan da müze kart temin edilebiliyor.(Sivil 70, öğrenci 30 tl) Öğretmenlere ücretsiz.Mağara dar bir dehlizle başlıyor, aşağıya doğru çoğunlunda basamaklar olan dehlizler ver. Yer yer genişleyen alanalr olsa da aşağıya inişlerde ekseri dar dehlizlerden geçiliyor. Bir macera sirkinde eğleniyormuş hissi veriyor. Mağaranın bazı katlarında belli yerlerde trafiği düzenelyen görevliler var. Zira dehlizlerden bir kişi geçebildiği için çıkanlar ve inenlerin karşılaşmaması gerekiyor. ""Gönder, gelsin."" ""Daha var mı?"" ""Bekle, siz çıkın"" gibi bağırışlar duyarsanız bunlar o görevlilere aittir. Dehlizlerin birçoğunda dik yürüyemezsiniz, eğilmek zorundasınız ve bu şekilde inip çıkaarsınız dehlizlerden. Eğer belinizde bir problem varsa tavsiye etmiyorum. Bir de girişte astım ve bronşit hastalıkları olanlar giremez ibaresi var. Gerçekten aşağıda yer yer daraldığınız yerler oluyor. Özellikle kapalı yer korkusu olanlar rahatsız olabilir. Hulasa güzeli eğlenceli, maceralı bir şehirdir Derinkuyu."	2019-08	5	1
41	yedek kıyafet şart	eşsiz bir mekan. yer altı şehrinin koridorları yer yer sizi çok zorlayacak. bazı kısımlar gerçekten çok dar ve boy olarak düşük seviyede. çıkışta kaslarınızın ağrıdığını hissetmeniz gayet normal olacak. suyunuz yanınızda olsun. çok terleyeceğinizi hatta atletinizin sırılsıklam olabileceğini unutmayın bu yüzden yedek kıyafet getirip çıkışta değiştirebilirsiniz. dışarının ve içerinin ısı farkından dolayı insanı gerçekten zorluyor. giriş 42 tl. müzekart mutlaka çıkarın. 18 yaş altı ve öğretmen kimliği ile giriş ücretsiz.	2019-08	5	1
42	Yer altına yolculuk 😮😮😮	Bir kabileye ait yaşanmışlığın yeri burası Nevşehir doğal güzellikleri ve yeraltı şehirleri ile sizleri bekliyor 👏👏👏Yaklaşık 20 yıl önce gitmiştim hayran kalmıştım bu gidişimde yine aynı hiç değişmemiş biraz çevre düzenlemesi yapılmış 👏👏👏👏Yerin altına doğru yolculuk yaptığınız bir yer hayretler içerisinde kalıyorsunuz ve burada birileri yaşamış yıllar yıllar önce 😮😮😮Yolunuz düşerse mutlaka gezmenizi tavsiye ederim 👍👍👍👍	2019-07	5	1
43	Mutlaka Görmeniz Gerekir	Kapadokya bölgesine uğrayıp mutlaka gezi listenize almanız gereken bir yer.Çok geniş bir alanı olan ve hala çalışmaların devam ettiği bir yer. Öngörülere göre kayseriden çıkışı olduğu söyleniyor.Saldırılar tarafından kendisini koruyabilen bir yapısı mevcut. Bu yüzden girişleri dar ve dışarıdan gelenler tek tek girmek zorundalar. Oldukça dar koridorlara sahip. İçinde bulunan klisede Malta haçı ve ikonolostik döneme ait belirtiler var.Yine içeride mezar var. Girişi farklı çıkışı farklı yerden yaptık. Alt katlara indikçe hava soğumaya başlıyor. O yüzden üzerinize birşeyler alabilirsiniz.Burada yüz yıllar önce yaşayanlar çok farklı bir havalandırma sistemi kullanmışlar. Gayet görülesi ve araştırılası bir yer. Hitit kolonilerinin bu bölgede önceden yerleştiği söyleniyor.	2019-08	5	1
44	Gezmesi Daha Kolay	Kaymaklı Yeraltı Şehrine göre içinde yürümesi daha kolay. Hemen hemen aynı. Çocuklar ve yaşlılar olduğunda burayı tercih etmek lazım.	2019-08	5	1
45	Yerin altına ölmeden girmek 😰	Çok farklı bir deneyimdi gezilecek yerler arasında beni etkileyen bir yerdi yerin yaklaşık 55 metre altında yaşayan insanları düşünmek güzeldi onları anlamaya çalışmak yaşanması gereken bir anıydı tavsiye ederim sadece tüneller dar olmasından dolayı zorluk çekebilirsiniz	2019-07	4	1
46	Müze kartı olan gezsin	Etkileyici bir yer ama bu giriş ücretini hak ediyor mu derseniz bence etmiyor. Müze kartı ile gezmenizi şiddetli öneririm. Yer altı şehrine gelirsek 22 km uzunluğunda olduğu söylenen bazı yerlerde kambur şekilde hareket edebildiğin çok etkileyici bir yer. Görmemek olmaz ama bilet ücreti konusu çözülmeli.	2019-07	4	1
47	Derinkuyu Yeraltı Şehri	İnsanların buralarda ne şartlarda ve nasıl yaşadıklarını görmek için Kapadokya gezisinde gidilmesi gereken etkileyici yerler arasında.	2019-06	4	1
48	Gitmeyin bence soygunculuk bu	Tamam kültür gezisi falan iyi hoşta.3 çocuklu bir aileyiz eşimle toplam 5 kişiyiz küçük kızım 8 yaşında ona bile ücret istiyorlar hemde bizim için 42 TL çocuklar için 30TL olacak iş mi? TOPLAM 174 TL demesin mi yuh dedim yuh. Yabancılar gezsin isteniyor. Vermeyin bu paraları arkadaş yabancı için sorun yok ki 6-7 euro veriyorlar. Kültür bakanlığı acilen bu sorunu çözmeli.	2019-07	1	1
49	42 tl giriş ücreti mi olur	il dışından gelen misafirlerimi gezdirmek için Derinkuyu'ya gittim. 42 tl giriş ücreti dediler. Böyle soygun olur mu? 5 kişi 210 tl. Ihlara, Uçhisar ve Ürgüp'ü de görelim derseniz, 36 tl ıhlara, 9 tl Uçhisar, 30 tl Göreme 2 saatte park parası ile toplam 600 TL. ŞAKA MISINIZ? VATANDAŞI SOYMAK İÇİN BİR DÜZEN TUTTURMUŞSUNUZ	2019-07	1	1
50	Türkiye deki turizm soygunu	Giriş ücreti çok pahalı 42 tl dir. 4 kişilik bir aile için 320 tl ve sadece 1 girişlik. Bunun gibi 3 yer gezsen 1000 tl Asgari ücretin 2000 tl olduğu bir ülkede vatandaş için bir şey düşünülmemiş. Herşey zengine parası olana Turizm ve kültür bakanlığı herkesi millet vekili maaşı alıyor sanıyorlar	2019-07	1	1
51	Bence girmeyin	Giriş 35tl eğer müze kartınız yoksa. Ayrıca içerisi dar olduğu için karşıdan gelene denk gelmemek için hem hızlı hemde sürekli eğilerek yürüyorsunuz inanılmaz yorucu oluyor içeride mağaradan başka bişey yok öyle damlataş mağarası gibi düşünmeyin löps mağara bildiğin duvarlardan oluşan. Sadece astımı değil fıtığı olanda girmesin :)Çok dar koridorlardan oldukça uzun uzun merdiven iniyorsunuz. İçeride en alt katlardan bir yerde havalandırma deliği var yukarı yeryüzüne kadar uzanan.	2019-07	1	1
52	..	Bizden çok Japonların ziyaret ettiği bana göre dünyanın ibret alınası en güzel yapılarından biri.Teknolojinin olmadığı bir çağda nasıl oluyor da binlerce kişinin sığınabileceği bir şekilde yeraltı şehri yapılıyor hayretler içinde kaldım.Öncelikle giriş esnasında varsa mutlaka müze kartınızı götürün aksi halde kişibaşı 40 lira ödersiniz.Dar bir merdivenden içeri girdiğinizde odacıklar karşılıyor sizi yavaş yavaş geçiş yerleriniz küçülüyor eşimin astımı olduğu için daha ileri gidemedik sağlık sorunu olan arkadaşlar lütfen bunu göz önünde bulundurun.Gezmeden önce hakkında kısa bilgiler okumanızı tavsiye ederim ziyaretinin daha anlamlı geçecektir.	2018-08	5	1
53	muazzam	iki büklüm gezmeyi göze alıyorsanız mutlaka görün derim. bazı yerler inanılmaz dar insan nefes almakta bile zorlanıyor. aynı merdiven hem iniş hem çıkış için kullanıldığından biraz karışıklık oluyor. Rehberler aşağıya indikçe zaten uyarıda bulunuyorlar.Ürkütücü ama çok güzel.	2019-07	5	1
54	Yeralti sehri	Resmen daracik tunellerden yerin 9 kat altina iniyorsunuz. Cok nemli ve serin bir ortam. Kapali alan korkusu olanlar kesinlikle gitnesin. Bence muhtesem otesi bir yer. Ozellikle kucuk cocuklarla ve hamile bayanlarla kesinlikle gitmeyin	2019-06	5	1
55	Anlatmaya gerek yok. Mükemmel.	Otopark 5 tl. Bir kaç ısrarcı satıcı var. Ama sattıkları ucuz. 5-10tl . Yerin 55mt altına girmeyi, omuz genişliğinde daracık koridorlardan gecmeyi ve eğilerek alçak tavanlardan gezmeyi göz e alın.	2019-06	5	1
56	Derin kuyu'lar	Nevşehir'de çok kaldık.Çok gittik.Derinkuyu'ya defalarca gittik ama mağara'da iç kısımlara inemedik.Çok ürkütücü.İlk 8 kat-50 mt açılmış,gidenler kahramandır.Gerçek 85 mt,13-15 kat.MÖ.3000 başlangıç.50.000 kişilik nefessiz şehir.Zaten nefes alınamıyor,birde aydınlatma için bezir yağı yakılması olan oksijenide bitirirken nasıl burada yaşanmış.Alt katlara nasıl oksijen çekilmiş.Derinkuyu'da derinlerde kuyu'lar olduğu için su sorunu yok,peki binlerce kişinin tuvalet sorunu nasıl çözülmüş.Roma ve Arap istilacılardan mağara girişi çok iyi gizlenmiş.Biz bile anca 1963'te bulmuşuz.36 Mağara'nın en büyüğü.Kaymaklı'da var büyük.Acıgöl sonradan bulundu.Yine gitsem yine inemem.Nefes zorluğu çeken değil çekmiyenler içinde çok zor,daralıyorsunuz,üşüyorsunuz,ürperiyorsunuz.Ancak kalabalıktan fırsat olursa 1 kat inin bari.Bir daha tövbe edersiniz zaten.	2018-09	5	1
57	Hayatta bir kez de olsa görülmeli	Ailecek gittiğimiz Derinkuyu yeraltı şehri inanılmazdı ama maalesef en dibine kadar inemedik nefesimiz daraldı yol da iyice daralıyor. Zaten kapısında da kalp hastaları ve nefes darlığı olanların girmemesi önerilir diye. Ama gördüklerimize inanmak da gerçekten zorlandık insanlar nasıl yaşamışlar oralarda , nasıl inşaa etmişler 7-8 kat yerin altında olma fikri bile tüylerimi ürpertti. Ama gidilmesini şiddetle tavsiye ediyorum.	2019-06	5	1
